"","bcw_id","Genus","PO4","Group"
"79","BCW-201945","Enterobacter",958.0777096,"DSN"
"80","BCW-201013","Rahnella",955.010224833333,"DSN"
"81","BCW-200009","Enterobacter",949.897750533333,"DSN"
"82","BCW-201453","Lactococcus",945.986779966667,"DSN"
"83","BCW-200025","Enterobacter",939.672801666667,"DSN"
"84","BCW-200903","unassigned",937.627811833333,"DSN"
"85","BCW-201811","Enterobacter",931.492842533333,"DSN"
"86","BCW-201152","Citrobacter",926.380368066667,"DSN"
"87","BCW-200231","unassigned",923.884514433333,"DSN"
"88","BCW-201914","Enterobacter",921.267893633333,"DSN"
"89","BCW-201085","Serratia",919.222903866667,"DSN"
"90","BCW-201028","Rahnella",916.713880933333,"DSN"
"91","BCW-201187","Rahnella",913.087934566667,"DSN"
"92","BCW-200910","Agrobacterium",911.048158733333,"DSN"
"93","BCW-200465","Agrobacterium",911.048158633333,"DSN"
"94","BCW-201878","Enterobacter",911.042944766667,"DSN"
"95","BCW-200275","Lelliottia",907.97546,"DSN"
"96","BCW-201809","Serratia",906.952965233333,"DSN"
"97","BCW-201845","unassigned",904.907975566667,"DSN"
