"","bcw_id","Genus","IAA","NIF_Group"
"80","BCW-201444","unassigned",16.99745547,"DSN"
"81","BCW-200146","unassigned",16.88888889,"DSN"
"82","BCW-201045","unassigned",16.81933842,"DSN"
"83","BCW-201866","Enterobacter",16.7684478366667,"DSN"
"84","BCW-200040","unassigned",16.64197531,"DSN"
"85","BCW-200810","unassigned",16.48854962,"DSN"
"86","BCW-200271","unassigned",16.3613231566667,"DSN"
"87","BCW-201975","Enterobacter",16.3613231566667,"DSN"
"88","BCW-201051","Serratia",15.903307887,"DSN"
"89","BCW-200107","Enterobacter",15.65432099,"DSN"
"90","BCW-200150","Lactococcus",15.6131687233333,"DSN"
"91","BCW-200012","Enterobacter",15.5308642,"DSN"
"92","BCW-200272","unassigned",15.5216284966667,"DSN"
"93","BCW-200904","Agrobacterium",15.4961832066667,"DSN"
"94","BCW-201995","Pantoea",15.3944020333333,"DSN"
"95","BCW-201845","unassigned",15.3180661566667,"DSN"
"96","BCW-201185","Serratia",15.2926208633333,"DSN"
"97","BCW-200268","unassigned",15.1653944033333,"DSN"
"98","BCW-201854","unassigned",15.03816794,"DSN"
"99","BCW-201885","Enterobacter",15.03816794,"DSN"
"100","BCW-201883","unassigned",15.0127226466667,"DSN"
"101","BCW-200634","unassigned",14.75826972,"DSN"
"102","BCW-200988","unassigned",14.6819338433333,"DSN"
"103","BCW-200533","Rhodococcus",14.6055979653333,"DSN"
"104","BCW-200231","unassigned",14.5843621433333,"DSN"
"105","BCW-200215","Agrobacterium",14.5020576166667,"DSN"
"106","BCW-201847","Enterobacter",14.4783715,"DSN"
"107","BCW-200327","Serratia",14.4274809166667,"DSN"
"108","BCW-201945","Enterobacter",14.4274809166667,"DSN"
"109","BCW-201933","Enterobacter",14.4020356233333,"DSN"
"110","BCW-201653","Serratia",14.24936387,"DSN"
"111","BCW-201238","Serratia",13.9440203566667,"DSN"
"112","BCW-200883","Enterobacter",13.7404580133333,"DSN"
"113","BCW-200015","Enterobacter",13.679012346,"DSN"
"114","BCW-200542","unassigned",13.5114503833333,"DSN"
